Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Included / International,Price / International,Compare At Price / International,Status
welcome-booklet,Welcome booklet,"Anna's custom fatcork booklet that we include in all first time e-commerce and in person orders, and all gifts, as well as all intro / new members.",fatcork,,"","",true,Title,Default Title,,,,,WelcomeBook,0.0,,deny,manual,0.00,,true,true,"",,,,false,,,,,,,,,,,,,,,lb,,,true,true,,,active
fathers-day-tasting-vertical-pack,Father's Day Tasting Vertical Pack,"<ul>
<li>ARGR</li>
<li>PRRO</li>
<li>PRBT</li>
</ul>",fatcork,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Tasting Vertical,"ABV-12, Tasting Vertical Packs, VARIANT-41363990282284-TYPE-BOX, VARIANT-41363990282284-UNIT-ML, VARIANT-41363990282284-VOLUME-2250.0",false,Title,Default Title,,,,,TVP_FD,5443.10844,shopify,deny,manual,180.00,211.00,true,true,"",,,,false,,,,,,,,,,,,,,,lb,,88.39,true,false,,,draft
fatcork-golf-tees,Fatcork Golf Tees,"",fatcork,Apparel & Accessories,Merchandise,"",true,Title,Default Title,,,,,FC-Tee,0.0,,deny,manual,1.00,,true,true,"",https://cdn.shopify.com/s/files/1/0347/9578/2188/files/IMG_7610-Edit4_509f854e-2c39-4bae-8584-c274cc662c07.jpg?v=1686096742,1,,false,,,,,,,,,,,,,,,lb,,0.30,true,true,,,active
champagne-picnic-pack,Picnic Pack,"<p><meta charset=""utf-8""><span>Fatcork’s resident picnic pro, Bryan, partnered with the South Carolina-based leather goods shop J. Stark to design a perfect Champagne tote for fat-bottomed bottles. This go-to Champagne gift set is everything you need: the J. Stark tote plus two of our best bottles and expert-approved accessories.</span></p>
<p><strong>Included: </strong></p>
<ul>
<li>1 x <a href=""https://fatcork.com/products/adrien-redon-un-r-de-rien-brut-nature"">Adrien Redon U R de Rien Brut Nature</a>
</li>
<li>1 x <a href=""https://fatcork.com/products/didier-ducos-noir-absolu"">Didier-Ducos Noir Absolu</a>
</li>
<li>1 x <a href=""https://fatcork.com/products/wine-tote-bag"">Champagne Bottle Picnic Tote</a>
</li>
<li>1 x <a href=""https://fatcork.com/products/cooler-sleeve"">Cooler sleeve</a>
</li>
<li>2 x <a href=""https://fatcork.com/products/champagne-stopper"">Stopper</a>
</li>
</ul>",Gift Set,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Gift Set,"ABV-12, Father's Day, Gift Set, Gift Sets, Gifts, VARIANT-41311165513772-TYPE-BOX, VARIANT-41311165513772-UNIT-ML, VARIANT-41311165513772-VOLUME-1500.0",true,Title,Default Title,,,,,PAPA-PCNIC,0.0,shopify,deny,manual,189.00,,true,true,"",https://cdn.shopify.com/s/files/1/0347/9578/2188/files/IMG_7705-Edit2.jpg?v=1686697297,1,,false,Grower Champagne Picnic Pack,"Fatcork founder, Bryan, partnered with the South Carolina-based leather goods shop J. Stark to design a perfect Champagne tote bag for fat-bottomed grower Champagne and sparkling wine bottles. 

This go-to Champagne gift set gets dads on their way with the J. Stark tote plus two of our best bottles and expert-approved accessories. Included: 1 x Adrien Redon U R de Rien Brut Nature 1 x Didier-Ducos Noir Absolu 1 x Champagne Bottle Picnic Tote 1 x Cooler sleeve 2 x Stopper",,,,,,,,,,,,,lb,,94.75,true,false,,,active
champagne-picnic-pack,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0347/9578/2188/files/IMG_8116-Edit.jpg?v=1686697304,2,,,,,,,,,,,,,,,,,,,,,,,,
champagne-picnic-pack,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0347/9578/2188/files/Screenshot2023-06-07at12.33.07PM.png?v=1686697304,3,,,,,,,,,,,,,,,,,,,,,,,,
champagne-picnic-pack,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0347/9578/2188/files/DDNA_88799621-114c-4962-918c-aad6f0bb675e.jpg?v=1686697304,4,,,,,,,,,,,,,,,,,,,,,,,,
champagne-picnic-pack,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0347/9578/2188/files/IMG_7867-Edit2.jpg?v=1686697304,5,,,,,,,,,,,,,,,,,,,,,,,,
champagne-picnic-pack,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0347/9578/2188/files/IMG_7434-Edir2.jpg?v=1686697304,6,,,,,,,,,,,,,,,,,,,,,,,,
champagne-picnic-pack,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0347/9578/2188/files/CoolerSleeve-Edit.jpg?v=1686697304,7,,,,,,,,,,,,,,,,,,,,,,,,
champagne-picnic-pack,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0347/9578/2188/files/Fatcork_Wine-Stopper_640x_2x_725b47e7-7179-47d6-bd7d-2a0e4b6baf53.webp?v=1686697304,8,,,,,,,,,,,,,,,,,,,,,,,,
fore-golf-champagne-gift,FORE Golf Lover Champagne Package,"<p><meta charset=""utf-8""><span>FORE! The ultimate Champagne gift set for golf lovers is coming at you!  </span></p>
<p><span>Any linksman would be delighted with this curated bundle of bubbles and fatcork-approved golf goodies to prep them for a perfect day on the green. Not to mention they would make everyone on the golf course jealous of their unique Cork Head Cover, made just for fatcork!</span></p>
<p>Included:</p>
<ul>
<li>
<p role=""presentation"">1 x <a href=""https://fatcork.com/products/chromatique"" data-mce-href=""https://fatcork.com/products/chromatique"">Stéphane Regnault Chromatique Blanc de Blancs Grand Cru NV</a></p>
</li>
<li>
<p role=""presentation""><span></span><a href=""https://fatcork.com/products/driver-head-cover?_pos=1&amp;_sid=a031ba810&amp;_ss=r"" data-mce-href=""https://fatcork.com/products/driver-head-cover?_pos=1&amp;_sid=a031ba810&amp;_ss=r"">Cork Head Cover from Seamus Golf</a><br></p>
</li>
<li>
<p role=""presentation""><a href=""https://fatcork.com/products/1-bottle-shag-bag-cooler"" data-mce-href=""https://fatcork.com/products/1-bottle-shag-bag-cooler"">Ranger Cooler Bag by Jones Sports Co.</a></p>
</li>
<li>
<p role=""presentation""><a href=""https://fatcork.com/products/1-bottle-shag-bag-cooler"" data-mce-href=""https://fatcork.com/products/1-bottle-shag-bag-cooler""></a>15 x Custom fatcork Golf Tees </p>
</li>
<li>1 x <a href=""https://fatcork.com/products/champagne-stopper"" target=""_blank"">Stopper</a>
</li>
</ul>",Gift Set,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Gift Set,"ABV-12, Father's Day, Gift Set, Gift Sets, Gifts, VARIANT-41311158206508-TYPE-BOX, VARIANT-41311158206508-UNIT-ML, VARIANT-41311158206508-VOLUME-750.0",true,Title,Default Title,,,,,FORE-FD23,0.0,shopify,deny,manual,248.00,,true,true,"",https://cdn.shopify.com/s/files/1/0347/9578/2188/files/Fatcork_Jones-Shag-Bag5_640x_2x_1fb3782e-9002-4c5e-94a9-b76012a79253.webp?v=1687549498,1,,false,,FORE! The ultimate and perfect Champagne gift set for champagne enthusiasts and golf lovers is coming at you! Any linksman will be delighted with this curated bundle of bubbles and fatcork-approved golf goodies to prep them for a perfect day on the green. This is a perfect gift for fathers and also the perfect gift for husbands.,,,,,,,,,,,,,lb,,137.48,true,true,,,active
fore-golf-champagne-gift,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0347/9578/2188/files/Fatcork_Seamus-Golf-Head-Cover3_640x_2x_52d7880f-dcfb-4d6c-8aa1-00234b1cc102.webp?v=1687549498,2,,,,,,,,,,,,,,,,,,,,,,,,
fore-golf-champagne-gift,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0347/9578/2188/files/Father_sDayChampagneGift.jpg?v=1687549498,3,,,,,,,,,,,,,,,,,,,,,,,,
fore-golf-champagne-gift,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0347/9578/2188/files/Fatcork_SRCR_640x_2x_cead4d1b-3342-400a-b3be-f28c574ff965.webp?v=1687549498,4,,,,,,,,,,,,,,,,,,,,,,,,
fore-golf-champagne-gift,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0347/9578/2188/files/Fatcork_Wine-Stopper_640x_2x_a5b12f78-76bb-4383-a579-b5722ef2a36b.webp?v=1686690081,5,,,,,,,,,,,,,,,,,,,,,,,,
fore-golf-champagne-gift,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0347/9578/2188/files/IMG_7610-Edit4.jpg?v=1686690081,6,,,,,,,,,,,,,,,,,,,,,,,,
fore-golf-champagne-gift,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0347/9578/2188/files/IMG_7660-Edit2.jpg?v=1686690081,7,,,,,,,,,,,,,,,,,,,,,,,,
fore-golf-champagne-gift,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0347/9578/2188/files/IMG_7625-Edit1.jpg?v=1686690081,8,,,,,,,,,,,,,,,,,,,,,,,,
local-member-allocation-party,Local Member Allocation Party | Thurs 5/8 | 4-7 p.m.,"<meta charset=""utf-8"">
<p style=""text-align: left;"">Members, we’re breaking out the good stuff just for you! Join us in the cave for a members-only Champagne tasting. <br></p>
<div style=""text-align: left;""><span>Fatcork celebration experts will be pouring bubbles and dropping insider info on the Champagne featured in your summer allocation. And if you haven’t picked up your box of bubbles yet, it’ll be all packed and ready to go home with you.</span></div>",Event,Arts & Entertainment > Event Tickets,Event,"",true,Title,Default Title,,,,,MAY23PARTY,0.0,,deny,manual,0.00,,false,true,"",https://cdn.shopify.com/s/files/1/0347/9578/2188/files/Screenshot2023-06-02at12.52.18PM.png?v=1685735701,1,,false,,,,,,,,,,,,,,,lb,,,true,true,,,active
organic-living-tasting-vertical-pack,Organic Living Tasting Vertical Pack,"<ul>
<li>LVTS</li>
<li>PLBR19</li>
<li>VPIT</li>
</ul>",fatcork,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Tasting Vertical,"ABV-12, Tasting Vertical Packs, VARIANT-41305553535020-TYPE-BOX, VARIANT-41305553535020-UNIT-ML, VARIANT-41305553535020-VOLUME-2250.0",false,Title,Default Title,,,,,TVP_OL,5443.10844,shopify,deny,manual,185.00,226.00,true,true,"",,,,false,,,,,,,,,,,,,,,lb,,102.58,true,false,,,draft
ruppert-leroy-collectors-stash,Ruppert-Leroy Collector's Stash,"<meta charset=""utf-8"">
<p><span style=""font-weight: 400;"">Treat yourself to the ultimate stash: a bundle featuring all four highly coveted but hard-to-find cuvées from the Ruppert-Leroy domaine in Essoyes. This extraordinary collection does a beautiful job of highlighting the very best of what Bénédicte and Manu’s unique vineyards, each with its own distinct terroir, has to offer. </span></p>
<p><b>Included:</b></p>
<ul>
<li><a href=""https://fatcork.com/products/fosse-grely-brut-nature"" target=""_blank""><span style=""text-decoration: underline;""><span style=""font-weight: 400;"">Single bottle of Ruppert-Leroy Fosse Grely 2018</span></span></a></li>
<ul>
<li>80% pinot noir, 20% chardonnay, fermented in stainless steel and aged in barrel, clay-limestone soil</li>
</ul>
<li><span style=""text-decoration: underline;""><span style=""font-weight: 400;"">Single bottle of Ruppert-Leroy Martin Fontaine 2018</span></span></li>
<ul>
<li><span style=""font-weight: 400;""><span>100% chardonnay, fermented and aged in barrel, kimmeridgian chalk soil</span></span></li>
</ul>
<li><span style=""text-decoration: underline;""><span style=""font-weight: 400;"">Single bottle of Ruppert-Leroy Les Cognaux 2019</span></span></li>
<ul>
<li>100% pinot noir, fermented and aged in barrel, kimmeridgian chalk soil</li>
</ul>
<li><span style=""text-decoration: underline;""><span style=""font-weight: 400;"">Single bottle of Ruppert-Leroy Papillon 2019</span></span></li>
<ul>
<li><span style=""font-weight: 400;""><span>100% pinot noir, fermented and aged in barrel, clay-limestone soil</span></span></li>
</ul>
</ul>",Ruppert Leroy,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Standard,"ABV-12, Bottle Size_Standard, Gift, Gift Set, Gift Sets, Grower_Ruppert Leroy, Single Bottles, VARIANT-41296277995564-TYPE-BOX, VARIANT-41296277995564-UNIT-ML, VARIANT-41296277995564-VOLUME-3000.0",true,Title,Default Title,,,,,RL-COLLECTORS,7257.47792,shopify,deny,manual,395.00,,true,true,"",https://cdn.shopify.com/s/files/1/0347/9578/2188/files/Ruppert-Leroy_ChampagneBundle.jpg?v=1686680563,1,,false,,,,,,,,,,,,,,,lb,,219.12,true,true,,,active
ruppert-leroy-collectors-stash,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0347/9578/2188/files/BenedictManuRuppert-Leroy.png?v=1685558300,2,,,,,,,,,,,,,,,,,,,,,,,,
ruppert-leroy-collectors-stash,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0347/9578/2188/files/BenedictManuRuppert-Leroy2.png?v=1685558300,3,,,,,,,,,,,,,,,,,,,,,,,,
traditional-to-modern-vertical-pack,Traditional to Modern Tasting Vertical Pack,"<ul>
<li>HDBR</li>
<li>ALPN</li>
<li>ARRO</li>
</ul>",fatcork,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Tasting Vertical,"ABV-12, Tasting Vertical Packs, VARIANT-41246598922284-TYPE-BOX, VARIANT-41246598922284-UNIT-ML, VARIANT-41246598922284-VOLUME-2250.0",false,Title,Default Title,,,,,TVP_TM,5443.10844,shopify,deny,manual,180.00,,true,true,"",,,,false,,,,,,,,,,,,,,,lb,,83.96,true,false,,,archived
may-2023-weekenders-rose-only,MAY 2023: Weekenders | ROSE ONLY,"<ul>
<li>JBRSN<br>
</li>
<li>ARRO<br>
</li>
<li>DDRO</li>
<li>HDRO<br>
</li>
</ul>",Fatcork,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Club package,"ABV-12, May 2023 Allocation, Summer Release 2023, VARIANT-41243863941164-TYPE-BOX, VARIANT-41243863941164-UNIT-ML, VARIANT-41243863941164-VOLUME-3000.0",false,Title,Default Title,,,,,WKMAY-ROSEONLY,7257.47792,shopify,deny,manual,264.00,,true,true,"",,,,false,,,,,,,,,,,,,,,lb,,131.31,true,false,,,active
colas-robin-magnum-2018,Colas Robin Magnum 2018,"<meta charset=""utf-8"">
<p><b>SEE:<span> </span></b><span style=""font-weight: 400;"">Soft amber with copper tones and a fizzy effervescence</span></p>
<p><b>SMELL:<span> </span></b><span style=""font-weight: 400;"">Peach, s</span><span style=""font-weight: 400;"">unbaked citrus and musk</span></p>
<p><b>TASTE:<span> </span></b><span style=""font-weight: 400;"">Tart citrus and white peach followed by marzipan, orange rind and crusty baguette. Wet stone minerality and<span> </span></span><span style=""font-weight: 400;"">toasty complexity.</span></p>
<p data-mce-fragment=""1""><b>PAIR:<span> </span></b><span style=""font-weight: 400;"">While this cuvée packs a punch on its own, it’s also a beautiful contrast to rich comfort foods like chicken pot pie and fried chicken. Or pair it with a lighter meal of sardines on toast or sashimi.</span></p>",Piollot Père et Fils,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Large Format,"ABV-12, Bottle Size_Large Format, Brut Nature, Grower_Piollot Père et Fils, Inventory, REGION-AUBE, Single Bottles, spo-default, spo-disabled, Style_Blanc des Noirs, Style_Single variety, VARIANT-41227843207212-TYPE-BOTTLE, VARIANT-41227843207212-UNIT-ML, VARIANT-41227843207212-VOLUME-1500.0, VINTAGE-100% 2018",true,Title,Default Title,,,,,PLCR18M,3628.73896,shopify,deny,manual,187.00,,true,true,"",https://cdn.shopify.com/s/files/1/0347/9578/2188/files/Fatcork_Piollot_24988e16-7c63-45b4-81f5-53e61679bcec.jpg?v=1683915206,1,,false,,,Champagne,,,,new,true,,,,,,,lb,,93.79,true,true,,,active
come-des-tallants-magnum-2019,Come Des Tallants Magnum 2017,"<meta charset=""utf-8"">
<p><b>SEE: </b><span style=""font-weight: 400;"">Shimmering gold with distinct clarity and a lively mousse</span></p>
<p><b>SMELL: </b><span style=""font-weight: 400;"">Toffee and tropical fruit followed by cellar musk and brioche </span></p>
<p><b>TASTE: </b><span style=""font-weight: 400;"">Juicy orchard fruit. Bone-dry with a backbone of fresh citrus acidity. </span></p>
<p><b>PAIR: </b><span style=""font-weight: 400;"">This cuvée is perfect as an aperitif. It also works beautifully with Mexican food. Pop a bottle on taco night or the next time you’re grilling up fajitas.  </span><br></p>",Piollot Père et Fils,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Large Format,"ABV-12, Bottle Size_Large Format, Brut Nature, Grower_Piollot Père et Fils, Inventory, REGION-AUBE, Single Bottles, spo-default, spo-disabled, Style_Blanc des Noirs, Style_Single variety, VARIANT-41227807522860-UNIT-ML, VARIANT-41227807522860-VOLUME-1700.0, VINTAGE-100% 2017",true,Title,Default Title,,,,,PLCTM17,3628.73896,shopify,deny,manual,164.00,,true,true,"",https://cdn.shopify.com/s/files/1/0347/9578/2188/files/Fatcork_PLCT18M_a19cded0-050c-4764-857d-74a78a66d654.jpg?v=1683914278,1,,false,,,Champagne,,,,new,true,,,,,,,lb,,83.31,true,true,,,active
come-des-tallants-magnum-2019,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0347/9578/2188/files/Fatcork_Piollot_cc7357ce-aa5a-4e6f-9d2c-5fdaa256ead5.jpg?v=1683914363,2,,,,,,,,,,,,,,,,,,,,,,,,
